profile,basis,b_angstrom,temperature,removal_steps,radius,intact,removed,mismatched_return,correct_return,causal_margin,causal_pass,mismatch_overlap
6-31g_b0.7,6-31g,0.7,0.008,40,0.35,0.823125,0.395,0.350625,0.81,0.41500000000000004,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.008,40,0.45,0.885,0.494375,0.48875,0.865625,0.37124999999999997,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.008,40,0.55,0.931875,0.59125,0.603125,0.90375,0.30062500000000003,True,0.06706788535163427
6-31g_b0.8,6-31g,0.8,0.0005,10,0.15,0.998125,0.180625,0.0,0.998125,0.8175,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.0005,10,0.25,1.0,0.28687500000000005,0.070625,1.0,0.713125,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.0005,10,0.35,1.0,0.38375000000000004,0.80125,1.0,0.19874999999999998,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.0005,10,0.45,1.0,0.48875,0.996875,1.0,0.0031250000000000444,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.0005,10,0.55,1.0,0.591875,1.0,1.0,0.0,False,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.0005,20,0.15,0.998125,0.180625,0.0,0.993125,0.8125,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.0005,20,0.25,1.0,0.28687500000000005,0.069375,1.0,0.713125,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.0005,20,0.35,1.0,0.38375000000000004,0.68625,1.0,0.31375,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.0005,20,0.45,1.0,0.48875,0.8556250000000001,1.0,0.14437499999999992,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.0005,20,0.55,1.0,0.591875,0.859375,1.0,0.140625,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.0005,40,0.15,0.998125,0.180625,0.0,0.995625,0.815,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.0005,40,0.25,1.0,0.28687500000000005,0.0675,1.0,0.713125,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.0005,40,0.35,1.0,0.38375000000000004,0.670625,1.0,0.329375,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.0005,40,0.45,1.0,0.48875,0.856875,1.0,0.14312499999999995,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.0005,40,0.55,1.0,0.591875,0.859375,1.0,0.140625,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.001,10,0.15,0.941875,0.180625,0.00125,0.9324999999999999,0.7518749999999998,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.001,10,0.25,0.99875,0.28687500000000005,0.14375,0.998125,0.7112499999999999,True,0.1093895984264179
