basis,mode,a_angstrom,b_angstrom,energy_hartree
sto-3g,without_edge_01,0.8999999999999999,2.3999999999999995,-1.4005896854636157
sto-3g,full,0.8999999999999999,2.4999999999999996,-1.7149897664272493
sto-3g,one_electron_cross_deleted,0.8999999999999999,2.4999999999999996,-0.9537809727809248
sto-3g,without_edge_01,0.8999999999999999,2.4999999999999996,-1.3990410981538304
sto-3g,full,0.9999999999999999,0.7,-1.6043146769438872
sto-3g,one_electron_cross_deleted,0.9999999999999999,0.7,-0.2612376057743768
sto-3g,without_edge_01,0.9999999999999999,0.7,-1.5308062354671623
sto-3g,full,0.9999999999999999,0.7999999999999999,-1.630930331430466
sto-3g,one_electron_cross_deleted,0.9999999999999999,0.7999999999999999,-0.47882611571975486
sto-3g,without_edge_01,0.9999999999999999,0.7999999999999999,-1.5685154023084595
sto-3g,full,0.9999999999999999,0.8999999999999999,-1.6294763128353646
sto-3g,one_electron_cross_deleted,0.9999999999999999,0.8999999999999999,-0.6348682974526363
sto-3g,without_edge_01,0.9999999999999999,0.8999999999999999,-1.579083811452374
sto-3g,full,0.9999999999999999,0.9999999999999999,-1.6119708031709288
sto-3g,one_electron_cross_deleted,0.9999999999999999,0.9999999999999999,-0.7486006481406404
sto-3g,without_edge_01,0.9999999999999999,0.9999999999999999,-1.5746576089062185
sto-3g,full,0.9999999999999999,1.0999999999999999,-1.659174425799912
sto-3g,one_electron_cross_deleted,0.9999999999999999,1.0999999999999999,-0.8327819772624769
sto-3g,without_edge_01,0.9999999999999999,1.0999999999999999,-1.5623468249662853
sto-3g,full,0.9999999999999999,1.1999999999999997,-1.6905155520172577
sto-3g,one_electron_cross_deleted,0.9999999999999999,1.1999999999999997,-0.8966636246958446
sto-3g,without_edge_01,0.9999999999999999,1.1999999999999997,-1.5465005496056654
sto-3g,full,0.9999999999999999,1.2999999999999998,-1.7105584196287822
sto-3g,one_electron_cross_deleted,0.9999999999999999,1.2999999999999998,-0.9439652774582599
sto-3g,without_edge_01,0.9999999999999999,1.2999999999999998,-1.5297939162813767
sto-3g,full,0.9999999999999999,1.4,-1.7225526855480222
sto-3g,one_electron_cross_deleted,0.9999999999999999,1.4,-0.9788027264778014
sto-3g,without_edge_01,0.9999999999999999,1.4,-1.5137585644762335
sto-3g,full,0.9999999999999999,1.4999999999999998,-1.728865396204081
sto-3g,one_electron_cross_deleted,0.9999999999999999,1.4999999999999998,-1.004281434214879
sto-3g,without_edge_01,0.9999999999999999,1.4999999999999998,-1.4991436833341818
sto-3g,full,0.9999999999999999,1.5999999999999996,-1.7312349438525172
sto-3g,one_electron_cross_deleted,0.9999999999999999,1.5999999999999996,-1.0227745871854559
sto-3g,without_edge_01,0.9999999999999999,1.5999999999999996,-1.4862190237569073
sto-3g,full,0.9999999999999999,1.6999999999999997,-1.7309376823182094
