condition,seed,damage_amplitude,alive,death_time,divisions,boundary_recovery,metabolic_recovery,information_repair_recovery
joint_erased,2026091903,0.6,False,54.1,0,0.34724949806855615,0.1691236667672394,0.49093457953897124
joint_erased,2026091904,0.6,False,54.14,0,0.34923514198188504,0.16958601189834907,0.5000826706075113
joint_erased,2026091905,0.6,False,54.160000000000004,0,0.34786057482433286,0.16755080954552595,0.4898622862238627
joint_erased,2026091906,0.6,False,54.38,0,0.34146520488081905,0.16800985967320936,0.48368093523981465
joint_erased,2026091907,0.6,False,54.36,0,0.34087414529672194,0.16728767405184267,0.48034737391191606
joint_erased,2026091908,0.6,False,54.4,0,0.3418665355804012,0.167505969791682,0.48462435818720784
joint_erased,2026091909,0.6,False,54.480000000000004,0,0.3417230039228546,0.16796942862899367,0.482127777841944
joint_erased,2026091910,0.6,False,54.32,0,0.34381973263250465,0.16866587475266648,0.48720198174616564
joint_erased,2026091911,0.6,False,54.32,0,0.3446959095951469,0.16763712118593405,0.48993724464874294
joint_erased,2026091912,0.6,False,54.42,0,0.3426052520972442,0.16842227022726775,0.48226073184539126
joint_erased,2026091913,0.6,False,54.46,0,0.34407607129772494,0.16865458772986958,0.4907254591146767
joint_erased,2026091914,0.6,False,54.300000000000004,0,0.34151416815059416,0.16775790903668292,0.4849537932882814
joint_erased,2026091915,0.6,False,54.28,0,0.34753262458658835,0.1690302470743632,0.4915443522963573
joint_erased,2026091916,0.6,False,54.120000000000005,0,0.3467406561247661,0.16868734244949968,0.488966277908335
joint_erased,2026091917,0.6,False,54.160000000000004,0,0.34646885908836644,0.16860741631575787,0.49482198809768657
joint_erased,2026091918,0.6,False,54.2,0,0.3447107988072189,0.16884752312925672,0.48857270407763964
joint_erased,2026091919,0.6,False,54.1,0,0.34264139493882745,0.16846826822462088,0.48968726906304316
joint_erased,2026091920,0.6,False,54.2,0,0.34980941163347323,0.16964992695730552,0.4906431182716538
joint_erased,2026091921,0.6,False,54.14,0,0.34568875935842824,0.16888016248294968,0.48910682181048004
joint_erased,2026091922,0.6,False,54.42,0,0.34559000001331175,0.16867887437505477,0.4799943241096808
joint_erased,2026091923,0.6,False,54.34,0,0.3433753154770017,0.1683639649428849,0.48327245873969576
joint_erased,2026091924,0.6,False,54.18,0,0.3494626288648095,0.16890135056513347,0.48823743200721575
joint_erased,2026091925,0.6,False,54.160000000000004,0,0.3464298929632922,0.16948496606890975,0.4900843406146955
joint_erased,2026091926,0.6,False,54.04,0,0.3516512977483441,0.16862194020679186,0.4977193181232349
joint_erased,2026091927,0.6,False,54.14,0,0.35070642554965353,0.16695900363374908,0.4941262590673475
joint_erased,2026091928,0.6,False,54.54,0,0.34164676312335374,0.16780499277837047,0.4873568618787711
joint_erased,2026091929,0.6,False,54.4,0,0.3408957718222955,0.16838888543924987,0.4852796128501895
joint_erased,2026091930,0.6,False,54.300000000000004,0,0.3475658889896629,0.169295052196119,0.49115883509465
joint_erased,2026091931,0.6,False,54.32,0,0.3474049000216021,0.1682740785934977,0.48813525652879075
time_shifted,2026091900,0.6,False,67.76,0,0.8905959961484715,0.23722890787923426,0.9090999924661736
time_shifted,2026091901,0.6,False,67.78,0,0.8935494552256162,0.21138244849160748,0.9059779735116216
time_shifted,2026091902,0.6,False,67.76,0,0.8930506068413501,0.1910496634908686,0.9110481340627562
time_shifted,2026091903,0.6,False,67.78,0,0.8889460472471699,0.19287817542404365,0.9041626070232951
time_shifted,2026091904,0.6,False,67.76,0,0.8928369165506508,0.22026221539304675,0.909066813091572
time_shifted,2026091905,0.6,False,67.8,0,0.8889722607542005,0.18568867851533064,0.899607935108134
time_shifted,2026091906,0.6,False,67.8,0,0.8927574200202147,0.19191483388474131,0.9040842888501751
time_shifted,2026091907,0.6,False,67.78,0,0.8914671841261779,0.20373360450715333,0.9060492407860103
time_shifted,2026091908,0.6,False,67.82000000000001,0,0.8898071847582674,0.20002328733290767,0.9058874037202684
time_shifted,2026091909,0.6,False,67.8,0,0.8910420159351563,0.18259428293140698,0.9020569927145808
time_shifted,2026091910,0.6,False,67.76,0,0.8941425812837397,0.23013200011372897,0.9092168142903299
time_shifted,2026091911,0.6,False,67.78,0,0.8906968944854285,0.18735166261852113,0.9064518452268145
time_shifted,2026091912,0.6,False,67.82000000000001,0,0.8923498745342925,0.2294333555581599,0.913157450061967
time_shifted,2026091913,0.6,False,67.8,0,0.890698853439108,0.21210219295759966,0.9069733801678305
time_shifted,2026091914,0.6,False,67.78,0,0.89071673735626,0.21359306341274162,0.9052708065270317
time_shifted,2026091915,0.6,False,67.76,0,0.8926988606565829,0.22948451829974043,0.9031850907303212
time_shifted,2026091916,0.6,False,67.76,0,0.8929244263327907,0.2122517169341362,0.9038407216130743
time_shifted,2026091917,0.6,False,67.74,0,0.890244716112421,0.24235282516245155,0.9068866347279505
time_shifted,2026091918,0.6,False,67.78,0,0.8907982325644008,0.24179549510132192,0.9074275107818
time_shifted,2026091919,0.6,False,67.76,0,0.8906424294202457,0.2311642960379454,0.9017293834753678
time_shifted,2026091920,0.6,False,67.76,0,0.8937827177646691,0.24113731537041194,0.908799218900152
time_shifted,2026091921,0.6,False,67.82000000000001,0,0.8888325111469869,0.239480456767537,0.9095544079833061
time_shifted,2026091922,0.6,False,67.86,0,0.889822963349156,0.2336048863040049,0.9072475106367718
time_shifted,2026091923,0.6,False,67.76,0,0.8931808731604863,0.1958177166965857,0.9093624607278628
time_shifted,2026091924,0.6,False,67.8,0,0.8931762433467894,0.19981749962539683,0.9155141310513768
time_shifted,2026091925,0.6,False,67.8,0,0.8892895358754617,0.23574778897907755,0.9080376747163931
time_shifted,2026091926,0.6,False,67.78,0,0.8931634538062473,0.2381496576630392,0.915595495885359
time_shifted,2026091927,0.6,False,67.78,0,0.8901798521991723,0.1968013519738319,0.9115603152042637
time_shifted,2026091928,0.6,False,67.76,0,0.893291460433888,0.23151456071797993,0.9096665092624538
time_shifted,2026091929,0.6,False,67.78,0,0.8893727368412472,0.2121368603065519,0.9108296349823827
time_shifted,2026091930,0.6,False,67.8,0,0.8896894866349933,0.18453762155233144,0.9053113500281482
time_shifted,2026091931,0.6,False,67.82000000000001,0,0.8926272021460228,0.18362904267082822,0.9065015010729794
reinjected,2026091900,0.6,True,,0,0.9982647161237659,0.9991519782889944,0.9995168468130234
reinjected,2026091901,0.6,True,,0,1.0002451223617987,0.999547185340828,0.9960828543995034
reinjected,2026091902,0.6,True,,0,0.9993261391379541,1.0002193301128883,0.9969124057860986
reinjected,2026091903,0.6,True,,0,0.9994041085894257,0.9995950088343551,0.9947974618804908
reinjected,2026091904,0.6,True,,0,0.9986440036644207,0.9995213828213666,1.000682335602631
reinjected,2026091905,0.6,True,,0,0.9984393200198036,0.9992865482230489,0.9945426400947519
reinjected,2026091906,0.6,True,,0,0.9998811890985403,0.9998638906027942,0.9970982788875614
reinjected,2026091907,0.6,True,,0,0.9992853447607803,0.9999100093710859,0.9969519760025974
reinjected,2026091908,0.6,True,,0,0.9999470685943364,0.9995123566551215,1.0000755038533085
reinjected,2026091909,0.6,True,,0,0.9985426361981222,0.999470160810818,0.9968164549007495
reinjected,2026091910,0.6,True,,0,1.000391405070181,1.000226794974288,0.9964302539931487
reinjected,2026091911,0.6,True,,0,0.999234397011604,0.9989460229430112,0.9971971662830862
reinjected,2026091912,0.6,True,,0,1.0005652247156342,1.0001809009510865,0.9979859057015759
reinjected,2026091913,0.6,True,,0,0.9986739262832153,0.9994368187767576,0.9991737825401655
reinjected,2026091914,0.6,True,,0,1.0008165050847462,1.0006743717750066,0.9971548509418027
reinjected,2026091915,0.6,True,,0,0.9988985784576951,0.999500292464237,0.9949937190083225
reinjected,2026091916,0.6,True,,0,1.000325565944307,0.999645264159285,0.9945624130962153
reinjected,2026091917,0.6,True,,0,0.9997217565077561,1.0000717885273596,0.9967363129122115
reinjected,2026091918,0.6,True,,0,0.9997705491448629,0.9995531361669149,0.9999007504058076
reinjected,2026091919,0.6,True,,0,1.0003539956671292,0.9999350129647345,0.9941196456767097
reinjected,2026091920,0.6,True,,0,0.9989536439211191,0.9996258078734156,0.9962256404400537
reinjected,2026091921,0.6,True,,0,1.0002248162069522,0.9997961304729641,0.9989509768198996
reinjected,2026091922,0.6,True,,0,0.9986045290459546,0.9993932194866739,0.9965772826329725
reinjected,2026091923,0.6,True,,0,0.99946322884485,0.9996996546304864,0.9998339868517714
reinjected,2026091924,0.6,True,,0,1.0002585577980005,0.999690262667543,1.0007704057615714
reinjected,2026091925,0.6,True,,0,1.0003954652493245,1.0003344982061382,1.0003816249612782
reinjected,2026091926,0.6,True,,0,0.9990383693231469,0.9995943115403505,1.0012271220445856
