training_seed,left_architecture,right_architecture,involves_new_architecture,relation_context_cka,random_context_cka_median,context_cka_specificity
1006,central_shared,four_channel_crossbar,True,0.6091661709744333,0.037350957367160806,0.5718152136072725
1006,directional_relay,four_channel_crossbar,True,0.5248063820113709,0.05149497287405563,0.47331140913731523
1007,distributed,central_shared,False,0.6556202400169222,0.024307602296356562,0.6313126377205657
1007,distributed,directional_relay,False,0.6498270609001949,0.02714047250869138,0.6226865883915036
1007,distributed,four_channel_crossbar,True,0.7343054335713811,0.025860864875787242,0.7084445686955939
1007,central_shared,directional_relay,False,0.6932617381330506,0.04184826678525949,0.651413471347791
1007,central_shared,four_channel_crossbar,True,0.6969920017024,0.040362880343808305,0.6566291213585917
1007,directional_relay,four_channel_crossbar,True,0.8314776989008852,0.04348709993217978,0.7879905989687054
1008,distributed,central_shared,False,0.7868291904258077,0.08845802056966313,0.6983711698561446
1008,distributed,directional_relay,False,0.5097184023846066,0.08349868538632105,0.4262197169982856
1008,distributed,four_channel_crossbar,True,0.48390805168694034,0.07573355296060466,0.4081744987263357
1008,central_shared,directional_relay,False,0.6558157795669102,0.050335589483157445,0.6054801900837528
1008,central_shared,four_channel_crossbar,True,0.6950327910018903,0.05019301964225062,0.6448397713596397
1008,directional_relay,four_channel_crossbar,True,0.6226502406444216,0.07380252581493625,0.5488477148294854
1009,distributed,central_shared,False,0.7548835581613152,0.07007719975891866,0.6848063584023966
1009,distributed,directional_relay,False,0.40345812851290713,0.0369563231525102,0.36650180536039695
1009,distributed,four_channel_crossbar,True,0.6088372090572322,0.06820590776699907,0.5406313012902331
1009,central_shared,directional_relay,False,0.5274430833864642,0.03524183486876908,0.4922012485176951
1009,central_shared,four_channel_crossbar,True,0.7568727611468482,0.09553511810979964,0.6613376430370486
1009,directional_relay,four_channel_crossbar,True,0.750022359084625,0.03738841021352862,0.7126339488710964
1010,distributed,central_shared,False,0.5314110042154783,0.05645365652697765,0.4749573476885006
1010,distributed,directional_relay,False,0.6955817274555814,0.04453260290180431,0.6510491245537772
1010,distributed,four_channel_crossbar,True,0.4531671475427085,0.0422970359257238,0.41087011161698467
1010,central_shared,directional_relay,False,0.7318393978542113,0.06285608939896453,0.6689833084552468
1010,central_shared,four_channel_crossbar,True,0.5905134942991939,0.0441228354804376,0.5463906588187563
1010,directional_relay,four_channel_crossbar,True,0.8004911284268034,0.042726158544266854,0.7577649698825365
1011,distributed,central_shared,False,0.5748463849142309,0.07619442670423623,0.49865195820999464
1011,distributed,directional_relay,False,0.06351413236430305,0.02536131510951674,0.03815281725478631
1011,distributed,four_channel_crossbar,True,0.3046836580154389,0.058121400499967085,0.2465622575154718
1011,central_shared,directional_relay,False,0.2883468359000527,0.025941430506515137,0.26240540539353757
1011,central_shared,four_channel_crossbar,True,0.5119728575151301,0.04968521916931581,0.4622876383458143
1011,directional_relay,four_channel_crossbar,True,0.6211856039318235,0.023542423175691368,0.5976431807561322
1012,distributed,central_shared,False,0.2562494160025076,0.017154491850582106,0.23909492415192551
1012,distributed,directional_relay,False,0.6779910582913665,0.043515256882499534,0.634475801408867
1012,distributed,four_channel_crossbar,True,0.7666529148773418,0.04296548932722108,0.7236874255501207
1012,central_shared,directional_relay,False,0.31228382792883463,0.01498112641132864,0.297302701517506
1012,central_shared,four_channel_crossbar,True,0.3085981875771359,0.012966791061230649,0.29563139651590525
1012,directional_relay,four_channel_crossbar,True,0.8111034291319951,0.06591732419455756,0.7451861049374375
1013,distributed,central_shared,False,0.8129244508292846,0.056411705159663886,0.7565127456696207
1013,distributed,directional_relay,False,0.5343233368590768,0.05358374491798005,0.4807395919410968
1013,distributed,four_channel_crossbar,True,0.2567925622659078,0.03373827535773555,0.22305428690817225
1013,central_shared,directional_relay,False,0.5356674735420474,0.05238381042840644,0.4832836631136409
1013,central_shared,four_channel_crossbar,True,0.16540342586953194,0.04732977402481882,0.11807365184471312
1013,directional_relay,four_channel_crossbar,True,0.28796585898638205,0.02933787986155971,0.2586279791248223
1014,distributed,central_shared,False,0.4188635700867329,0.06816660025014307,0.3506969698365898
1014,distributed,directional_relay,False,0.8150872108907129,0.06315387393774566,0.7519333369529673
1014,distributed,four_channel_crossbar,True,0.44896586477038875,0.05624462347312073,0.39272124129726804
1014,central_shared,directional_relay,False,0.4061732880205842,0.035099243028751684,0.37107404499183255
1014,central_shared,four_channel_crossbar,True,0.6302150895128836,0.04500753637400759,0.5852075531388761
1014,directional_relay,four_channel_crossbar,True,0.25778531310689445,0.025110342767072837,0.23267497033982162
1015,distributed,central_shared,False,0.5542644928971341,0.07530789671066003,0.47895659618647407
1015,distributed,directional_relay,False,0.5051680869183696,0.07105962767025459,0.434108459248115
1015,distributed,four_channel_crossbar,True,0.6553492796832777,0.08298464133379413,0.5723646383494836
1015,central_shared,directional_relay,False,0.41808571463243094,0.046891209317164215,0.3711945053152667
1015,central_shared,four_channel_crossbar,True,0.4138614625691856,0.0700164301612263,0.3438450324079593
1015,directional_relay,four_channel_crossbar,True,0.39589797013371286,0.06811250280006731,0.32778546733364555
1016,distributed,central_shared,False,0.3455974967047612,0.05581519206113477,0.2897823046436264
1016,distributed,directional_relay,False,0.14104142933012725,0.018224665122473817,0.12281676420765344
1016,distributed,four_channel_crossbar,True,0.581462097332639,0.08132196574038057,0.5001401315922585
1016,central_shared,directional_relay,False,0.0496491713957903,0.013527143547165351,0.03612202784862495
1016,central_shared,four_channel_crossbar,True,0.5122115252016807,0.0425393957263134,0.4696721294753673
1016,directional_relay,four_channel_crossbar,True,0.1703366413980976,0.018788992830680452,0.15154764856741715
1017,distributed,central_shared,False,0.21596446292069985,0.03409164142807289,0.18187282149262696
1017,distributed,directional_relay,False,0.2048216715116123,0.01828518941138307,0.18653648210022922
1017,distributed,four_channel_crossbar,True,0.48001660620506714,0.03368270552075648,0.44633390068431067
1017,central_shared,directional_relay,False,0.7929585930690745,0.02896176124702232,0.7639968318220521
1017,central_shared,four_channel_crossbar,True,0.7588531649167373,0.040011899734093616,0.7188412651826437
1017,directional_relay,four_channel_crossbar,True,0.8673929691566952,0.02830806366248992,0.8390849054942052
1018,distributed,central_shared,False,0.6966972954006889,0.04790145716135573,0.6487958382393332
1018,distributed,directional_relay,False,0.5228476026054903,0.08161104232833816,0.4412365602771522
1018,distributed,four_channel_crossbar,True,0.7150849684567155,0.08622722985134804,0.6288577386053675
1018,central_shared,directional_relay,False,0.49383585224530435,0.05460590750908666,0.4392299447362177
1018,central_shared,four_channel_crossbar,True,0.6672852240576034,0.05649379786154081,0.6107914261960625
1018,directional_relay,four_channel_crossbar,True,0.747491293512756,0.07692326266187946,0.6705680308508766
1019,distributed,central_shared,False,0.4085367541498969,0.04415810895843596,0.3643786451914609
1019,distributed,directional_relay,False,0.5011970138136789,0.0545026563864071,0.44669435742727176
1019,distributed,four_channel_crossbar,True,0.5551194158937984,0.0575556722767534,0.49756374361704503
1019,central_shared,directional_relay,False,0.5798496823082556,0.051976081818658815,0.5278736004895968
1019,central_shared,four_channel_crossbar,True,0.5688117034447548,0.056684729666755425,0.5121269737779994
1019,directional_relay,four_channel_crossbar,True,0.7051563924736313,0.06941184125192477,0.6357445512217065
1020,distributed,central_shared,False,0.49550910347550053,0.03611564437269302,0.4593934591028075
1020,distributed,directional_relay,False,0.5840379064029312,0.04583547697604421,0.538202429426887
1020,distributed,four_channel_crossbar,True,0.5111816723451998,0.04470669219196746,0.4664749801532324
1020,central_shared,directional_relay,False,0.7788871114994947,0.053906166185360954,0.7249809453141338
1020,central_shared,four_channel_crossbar,True,0.799239473891051,0.06498077919924694,0.734258694691804
1020,directional_relay,four_channel_crossbar,True,0.6352122471557509,0.07229876715340539,0.5629134800023454
1021,distributed,central_shared,False,0.6213579068244276,0.06854016871523107,0.5528177381091965
1021,distributed,directional_relay,False,0.7022760753113101,0.09227545558230907,0.610000619729001
1021,distributed,four_channel_crossbar,True,0.6219807010506029,0.04069097365237197,0.5812897273982309
1021,central_shared,directional_relay,False,0.8084024121056927,0.0853787447988558,0.723023667306837
1021,central_shared,four_channel_crossbar,True,0.6499497447534537,0.0373041490675471,0.6126455956859066
1021,directional_relay,four_channel_crossbar,True,0.6874565757069142,0.055538447757869897,0.6319181279490443
1022,distributed,central_shared,False,0.47371087372314136,0.039926266412830355,0.433784607310311
1022,distributed,directional_relay,False,0.7098675241066321,0.06694217451728993,0.6429253495893422
1022,distributed,four_channel_crossbar,True,0.8012810806424945,0.07176523141286964,0.7295158492296249
1022,central_shared,directional_relay,False,0.47841161977848534,0.03495831367449438,0.443453306103991
1022,central_shared,four_channel_crossbar,True,0.5107295736958238,0.038408110961674624,0.4723214627341492
1022,directional_relay,four_channel_crossbar,True,0.7284578363933649,0.06126513581643157,0.6671927005769334
1023,distributed,central_shared,False,0.44648335091227204,0.04118390460007376,0.4052994463121983
1023,distributed,directional_relay,False,0.44546526147785415,0.03560360204369759,0.40986165943415653
1023,distributed,four_channel_crossbar,True,0.5284271657571852,0.030889615377720024,0.4975375503794652
1023,central_shared,directional_relay,False,0.8684523440829603,0.08476164377626036,0.7836907003067
1023,central_shared,four_channel_crossbar,True,0.8011818927904408,0.06726379868926662,0.7339180941011743
1023,directional_relay,four_channel_crossbar,True,0.7628844303614694,0.07447512392639498,0.6884093064350744
