training_seed,architecture,task_competent,heldout_both_correct,component_norm,normal_cross_entropy,normal_both_correct,delete_cross_entropy_increase,random_delete_cross_entropy_increase_median,delete_selectivity,delete_empirical_percentile,delete_empirical_p,bilateral_response_minimum
1005,independent,False,0.106201171875,0.0,1.098613822565748,0.106201171875,0.0,0.0,0.0,0.0,1.0,0.0
1005,distributed,True,1.0,0.2891607963942355,1.5460444472117305e-05,1.0,1.0833682236392161,0.19350311705850085,0.8898651065807153,1.0,0.015384615384615385,0.999755859375
1005,central_shared,True,1.0,0.3657905034872647,5.907261054485411e-07,1.0,3.1257921433371894,0.352574052346028,2.7732180909911612,1.0,0.015384615384615385,0.97900390625
1005,directional_relay,True,1.0,0.28647821963225467,3.5578664965400367e-07,1.0,0.0035144962693986646,0.04335000253743647,-0.03983550626803781,0.0,1.0,0.99609375
1005,four_channel_crossbar,True,1.0,0.2102224496396738,3.946586923241014e-07,1.0,0.0022506327120080283,0.10773637092817437,-0.10548573821616634,0.0,1.0,0.98681640625
1006,independent,False,0.112060546875,0.0,1.098646472132366,0.112060546875,0.0,0.0,0.0,0.0,1.0,0.0
1006,distributed,True,1.0,0.3088607496625563,1.1066454101026435e-05,1.0,0.8310212572746731,0.16736365674150508,0.663657600533168,1.0,0.015384615384615385,0.999755859375
1006,central_shared,True,1.0,0.3271314503645061,7.009468035632203e-06,1.0,0.4477029115404393,0.17426755781357894,0.27343535372686034,1.0,0.015384615384615385,0.9560546875
1006,directional_relay,True,1.0,0.3683607554428909,3.0794091839815753e-06,1.0,0.12306294553469341,0.23562312471915076,-0.11256017918445735,0.0,1.0,0.999755859375
1006,four_channel_crossbar,True,1.0,0.32608903124377875,2.739816452604582e-05,1.0,1.1582575165454656,0.22406384766839227,0.9341936688770733,1.0,0.015384615384615385,0.99951171875
1007,independent,False,0.110107421875,0.0,1.0987150765613056,0.110107421875,0.0,0.0,0.0,0.0,1.0,0.0
1007,distributed,True,1.0,0.26294547356536274,2.360223116766559e-06,1.0,0.15746740622956465,0.021391910238660907,0.13607549599090374,1.0,0.015384615384615385,0.999755859375
1007,central_shared,True,1.0,0.3011416549008217,1.0396777359546557e-06,1.0,0.9165372647628298,0.14787171768621143,0.7686655470766184,1.0,0.015384615384615385,1.0
1007,directional_relay,True,1.0,0.28353435993622833,8.753218586484191e-07,1.0,0.9357129541187567,0.21489194952906168,0.720821004589695,1.0,0.015384615384615385,0.996337890625
1007,four_channel_crossbar,True,1.0,0.3163662528055223,3.380688006500184e-07,1.0,0.6715231163976083,0.14435206242651086,0.5271710539710974,1.0,0.015384615384615385,0.999755859375
1008,independent,False,0.112060546875,0.0,1.0989388193261016,0.112060546875,0.0,0.0,0.0,0.0,1.0,0.0
1008,distributed,True,1.0,0.38530431006979643,1.2872332180929381e-05,1.0,1.8923465493049785,0.5012233555294285,1.39112319377555,1.0,0.015384615384615385,1.0
1008,central_shared,True,1.0,0.45984237592941424,1.9158099890582624e-06,1.0,2.9054377273869223,0.5247026210507897,2.3807351063361324,1.0,0.015384615384615385,0.993896484375
