training_seed,architecture,transition,model_weight_hash,heldout_both_correct,task_competent,untrained_component_norm,component_norm,component_a_norm,component_b_norm,component_bilateral_support,next_component_norm,transported_norm,transport_fraction,transport_percentile,probability_response,probability_response_percentile,erase_cross_entropy_increase,exchange_cross_entropy_increase,bilateral_fraction,reconstruction_error
8001,dual_independent_relay,5_to_6,29a962e669f3b82c34cc9caa2670c60852c979101a0f85215f5cf738e94a467f,1.0,True,4.149597032197627e-21,2.3001839927774483e-17,3.2529513985393644e-17,0.0,0.0,2.4991304271585527e-17,2.489362423422319e-17,2.489362423422319e-05,0.96875,2.507542019933862e-22,0.65625,0.0,0.0,0.0,1.6653345369377348e-16
8001,dual_independent_relay,6_to_7,29a962e669f3b82c34cc9caa2670c60852c979101a0f85215f5cf738e94a467f,1.0,True,4.149597032197627e-21,2.4991304271585527e-17,3.5343041442268914e-17,0.0,0.0,2.907141336487053e-17,2.505299489861313e-17,2.505299489861313e-05,0.90625,2.5027598820175398e-22,1.0,0.0,0.0,0.0,2.220446049250313e-16
8002,distributed,4_to_5,affea47d972620c8511a898c96e494675c78dcc9a03f76900b0a506fe7a3698b,1.0,True,0.0001510076237861569,0.07535059478280023,0.0862346663252461,0.05402681508351774,1.0,0.14868632238937352,0.06345751241568197,0.4267878268553989,0.0,6.670536092692511e-06,0.125,9.914124051388272e-06,8.318032168409352e-05,0.9658203125,2.498001805406602e-16
8002,distributed,5_to_6,affea47d972620c8511a898c96e494675c78dcc9a03f76900b0a506fe7a3698b,1.0,True,0.0001510076237861569,0.14868632238937352,0.16050577954359635,0.12474925324550731,1.0,0.22214676311015957,0.1119992195652878,0.5041676862505032,0.0,2.4705627921006398e-05,0.0,3.808347860214808e-05,0.0009720905995724469,0.977294921875,3.3306690738754696e-16
8002,distributed,6_to_7,affea47d972620c8511a898c96e494675c78dcc9a03f76900b0a506fe7a3698b,1.0,True,0.0001510076237861569,0.22214676311015957,0.2509897601536557,0.17137657729984518,1.0,0.25068005081606076,0.14750708969679194,0.5884277157938941,0.0,1.1859276952234972e-06,0.0,1.4383141975454458e-06,0.0003028307071898352,0.988525390625,3.3306690738754696e-16
8002,central_shared,4_to_5,7439be1c745b5eb1f1ae6f179c271314b6c4a7ff7c9c46a4f344c80cf82505ed,1.0,True,0.00022397075775552815,0.11135156158915016,0.12094172355564732,0.09790061984325453,1.0,0.2040040412463954,0.0951939377353197,0.4666277057734596,0.0,1.266061362155205e-06,0.0,-1.1470595955607236e-06,0.00029603064533950755,0.989013671875,2.7755575615628914e-16
8002,central_shared,5_to_6,7439be1c745b5eb1f1ae6f179c271314b6c4a7ff7c9c46a4f344c80cf82505ed,1.0,True,0.00022397075775552815,0.2040040412463954,0.23933942004625697,0.15620933298223827,1.0,0.2730055435960586,0.14144917653450018,0.5181183307537139,0.0,1.485422443275047e-06,0.0,-1.6348847568589215e-06,0.000249641097348054,0.99755859375,3.3306690738754696e-16
8002,central_shared,6_to_7,7439be1c745b5eb1f1ae6f179c271314b6c4a7ff7c9c46a4f344c80cf82505ed,1.0,True,0.00022397075775552815,0.2730055435960586,0.33314424281767197,0.18247787292206363,1.0,0.2906185200707751,0.1603252500825992,0.5516690747842043,0.0,1.7257081924190286e-06,0.0,-1.3247875035851177e-06,0.00020786072729961382,0.996826171875,3.3306690738754696e-16
8002,directional_relay,4_to_5,985310ef189da8dea8b1a83afec963224ff6ea034f784ea31458e2e877d03fdf,1.0,True,5.550418659726245e-05,0.04641138065551657,0.041683414927936036,0.04841567398256873,1.0,0.09599293117486972,0.04008013292738734,0.4175321290520196,0.65625,4.888909068721843e-07,0.0,-5.41654841440429e-07,2.68189053410499e-06,0.6865234375,2.220446049250313e-16
8002,directional_relay,5_to_6,985310ef189da8dea8b1a83afec963224ff6ea034f784ea31458e2e877d03fdf,1.0,True,5.550418659726245e-05,0.09599293117486972,0.09424468630026867,0.09046942402807931,1.0,0.1819498502876951,0.08225580456247938,0.4520795396776547,1.0,1.3608038293786866e-06,0.0,-1.4635600743584411e-06,4.693136068981999e-06,0.84765625,3.0531133177191805e-16
8002,directional_relay,6_to_7,985310ef189da8dea8b1a83afec963224ff6ea034f784ea31458e2e877d03fdf,1.0,True,5.550418659726245e-05,0.1819498502876951,0.18187259753947332,0.1744713593927259,1.0,0.237078386030735,0.11811325750010129,0.4982033979461502,1.0,1.6037315584428285e-06,0.0,4.354958561695257e-07,0.0002448586036440296,0.91259765625,2.220446049250313e-16
8002,four_channel_crossbar,4_to_5,6a7cc8460e323b85c397114dc29f560733b7e92394ccb5e0e3fc95ed14b1c0e9,1.0,True,8.875567058928145e-05,0.05108051818847427,0.059095689550763594,0.034909472020140095,1.0,0.09523128882130233,0.04003181427704336,0.42036409222772825,1.0,1.5616026536298562e-06,1.0,1.7184084014270992e-06,3.647480948418576e-06,0.978759765625,2.220446049250313e-16
