training_seed,architecture,heldout_both_correct,task_competent,transition,component_norm,next_component_norm,transported_component_norm,transport_fraction_of_next,transport_alignment_with_next,random_transport_median,transport_selectivity_over_random,transport_percentile,matched_own_history_transport,transport_selectivity_over_own_history,erase_cross_entropy_increase,random_action_loss_median,action_loss_selectivity_over_random,action_loss_percentile,matched_own_history_action_loss,action_loss_selectivity_over_own_history,erase_probability_response,random_probability_response_median,probability_response_selectivity_over_random,probability_response_percentile,exchange_cross_entropy_increase,erase_bilateral_fraction,exchange_bilateral_fraction,random_bilateral_median,reentry_state_reconstruction_error
3027,distributed,1.0,True,5_to_6,0.3599887976018884,0.5518083332346859,0.41430944534373476,0.750821291362281,0.6640160585955552,0.2913516283969554,0.12295781694677937,1.0,0.3609964615550412,0.053312983788693535,0.3595554311150209,0.1575781790326642,0.20197725208235673,1.0,0.9107655231667707,-0.5512100920517498,0.09270272743521901,0.023154699954810155,0.06954802748040886,1.0,1.3421689072275966,1.0,1.0,1.0,2.498001805406602e-16
3027,distributed,1.0,True,6_to_7,0.5518083332346859,0.6738756255542644,0.5711549605040827,0.8475673237688428,0.7323158393876485,0.38768959892562754,0.1834653615784551,1.0,0.45922308621767693,0.11193187428640572,1.3596038240075208,0.3888577483013656,0.9707460757061552,1.0,0.7521193407440179,0.6074844832635029,0.18487939838466064,0.049278845150566755,0.13560055323409387,1.0,3.3149359254947925,1.0,1.0,1.0,2.498001805406602e-16
3027,central_shared,1.0,True,4_to_5,0.37436612738958686,0.4874706901503967,0.45543872928648527,0.9342894629130856,0.9027927936795964,0.3308648626480099,0.12457386663847536,1.0,0.42395517988746334,0.031483549399021926,0.9646069521768261,0.13592033398282893,0.8286866181939971,1.0,1.6244047025171624,-0.6597977503403363,0.14021769205828646,0.0218776341839473,0.11834005787433917,1.0,5.620658217878816,1.0,0.99755859375,0.996826171875,2.220446049250313e-16
3027,central_shared,1.0,True,5_to_6,0.4874706901503967,0.6313520201227744,0.6003091450527764,0.9508311146862867,0.9483709938436734,0.39972374917842657,0.20058539587434987,1.0,0.48018286129756904,0.1201262837552074,2.0156055675601072,0.1757954613593563,1.8398101062007508,1.0,0.3583765694577446,1.6572289981023627,0.2728639205752434,0.02788912898386514,0.24497479159137825,1.0,8.033649650405946,1.0,0.998779296875,0.998291015625,2.220446049250313e-16
3027,central_shared,1.0,True,6_to_7,0.6313520201227744,0.7410071932953286,0.7158869573269848,0.9660998756886128,0.9566872967422384,0.4518259393275482,0.2640610179994366,1.0,0.5623353182094637,0.15355163911752112,2.601014073279794,0.22890704082170932,2.372107032458085,1.0,0.20176221455634957,2.3992518587234444,0.37518926195561964,0.03812228759842776,0.33706697435719185,1.0,9.144587230309474,1.0,0.998779296875,0.998779296875,2.220446049250313e-16
3027,directional_relay,1.0,True,4_to_5,0.23624288563649393,0.41824925122891127,0.27193147838126097,0.6501660853719751,0.793360557852578,0.18548675746755017,0.0864447209137108,1.0,0.2755108837046074,-0.0035794053233464407,0.20763254816048946,0.04842412030280051,0.15920842785768896,1.0,1.1184420133128883,-0.9108094651523988,0.03473818461768529,0.00788892225787576,0.026849262359809528,1.0,0.35720758054945395,1.0,1.0,1.0,2.220446049250313e-16
3027,directional_relay,1.0,True,5_to_6,0.41824925122891127,0.5814026248615936,0.4824441904927121,0.8297936229778131,0.8867966981211608,0.2980825211527303,0.18436166933998177,1.0,0.3986483999445701,0.08379579054814201,1.3277857239033957,0.12325658072926221,1.2045291431741334,1.0,0.7934632548022129,0.5343224691011828,0.15750501428529848,0.021945866445698077,0.1355591478396004,1.0,3.6552790142304943,1.0,1.0,1.0,2.220446049250313e-16
3027,directional_relay,1.0,True,6_to_7,0.5814026248615936,0.7180005118665782,0.6568357396079626,0.9148123556352262,0.9374149270394383,0.39269634069670445,0.26413939891125815,1.0,0.5003687889604457,0.15646695064751692,2.3291882003236966,0.11073268607141847,2.218455514252278,1.0,0.16032554885536743,2.168862651468329,0.2847598203411435,0.02127731782623503,0.26348250251490846,1.0,6.510932448395844,1.0,1.0,1.0,2.220446049250313e-16
3027,four_channel_crossbar,1.0,True,4_to_5,0.3212168514734613,0.4743854065819506,0.38255839436023686,0.8064295171233297,0.9150485127940116,0.251457605993577,0.13110078836665984,1.0,0.311949479022567,0.07060891533766989,0.513746064407555,0.1830594676131993,0.3306865967943557,1.0,1.6429972177152312,-1.1292511533076763,0.0842777672720051,0.01984857555427123,0.06442919171773387,1.0,4.249365300199565,0.9990234375,0.993408203125,0.993408203125,2.220446049250313e-16
3027,four_channel_crossbar,1.0,True,5_to_6,0.4743854065819506,0.6419924777525595,0.5548543725704596,0.8642692738594903,0.9405550296184826,0.32745589497729666,0.2273984775931629,1.0,0.4072109305741457,0.14764344199631385,1.3455436447843494,0.20540084327751534,1.140142801506834,1.0,1.0866263302068289,0.25891731457752054,0.14616939095646606,0.025575927153296117,0.12059346380316993,1.0,5.333795604980194,1.0,0.998779296875,0.99609375,2.220446049250313e-16
