pair_id,family,A_reference_sha256,A_holonomy_sha256,B_reference_sha256,B_holonomy_sha256,phase_a_exact_match,phase_b_exact_match
P1044,0,eb1ceffd50b44748304250c7624d9d5a4c6ec4e11b381bcd3586d85d684e394a,eb1ceffd50b44748304250c7624d9d5a4c6ec4e11b381bcd3586d85d684e394a,3843550367dad988cf45d5cf57d2ecb752ff0e701754440bffa65b6dffb08a4e,3843550367dad988cf45d5cf57d2ecb752ff0e701754440bffa65b6dffb08a4e,True,True
P1045,0,46dbf4cf0f0a042ec30e334941d396f0d9e8485c51fdd21a86885fa55130422f,46dbf4cf0f0a042ec30e334941d396f0d9e8485c51fdd21a86885fa55130422f,25882a087c1a96b76475087d756e24a79d0e2f0ad5a6e329c1d4685f63c153b3,25882a087c1a96b76475087d756e24a79d0e2f0ad5a6e329c1d4685f63c153b3,True,True
P1046,0,cd9e4ace572af245dc4db4905fa1b22953449c145cbb6fd4326a09b197592747,cd9e4ace572af245dc4db4905fa1b22953449c145cbb6fd4326a09b197592747,b4f2e98b095a60a3afa8bafd35981c7a7a8a5ba39e341c2a45c4b7b7c9d61125,b4f2e98b095a60a3afa8bafd35981c7a7a8a5ba39e341c2a45c4b7b7c9d61125,True,True
P1047,0,29e6f6958cbdc8791789c6d76968170dcaa77e6c7aa731cd378844b366e2808d,29e6f6958cbdc8791789c6d76968170dcaa77e6c7aa731cd378844b366e2808d,71f9ce31af62b6784e016b29db1cb128a37ebef654c0cb757cf6fe6381db917b,71f9ce31af62b6784e016b29db1cb128a37ebef654c0cb757cf6fe6381db917b,True,True
P1048,0,7c982579dbd62bd202e315d3c2dc32518802b286c441fc886498facdd2bd0d60,7c982579dbd62bd202e315d3c2dc32518802b286c441fc886498facdd2bd0d60,e86924a444c0fbd37b6cece260dd9a17cd9125b5b4a01ef8cf9cb4b2fc1f27b7,e86924a444c0fbd37b6cece260dd9a17cd9125b5b4a01ef8cf9cb4b2fc1f27b7,True,True
P1049,0,f5b3de27eeeddfcf2314806446643545d936194a8ab77882744dfbf353a0109f,f5b3de27eeeddfcf2314806446643545d936194a8ab77882744dfbf353a0109f,eb1e12152eba2add8859fda42a21b2a157ad2e0b2e10e80c43e7797397ae65f9,eb1e12152eba2add8859fda42a21b2a157ad2e0b2e10e80c43e7797397ae65f9,True,True
P1050,0,e71c16a98965cd94041b507493a8dcb0a1381a4c0a69bb75dbb645f13b81574a,e71c16a98965cd94041b507493a8dcb0a1381a4c0a69bb75dbb645f13b81574a,c284c09267b0e6d724bdd10eac2fd9d86e9b2562baa62534a5e817992ff7bb48,c284c09267b0e6d724bdd10eac2fd9d86e9b2562baa62534a5e817992ff7bb48,True,True
P1051,0,0d72bcea420132999faeb1e1f903fc64ecb44532fd52c0e9479ecba83207d7ef,0d72bcea420132999faeb1e1f903fc64ecb44532fd52c0e9479ecba83207d7ef,de621efaabe92708be11a1eb4301f78b5ddcba0063cab57986b261ede7045b16,de621efaabe92708be11a1eb4301f78b5ddcba0063cab57986b261ede7045b16,True,True
P1052,0,e3cc019f86b1a485e4bd7aff6d20a7fb20cba1a4053dbe5460557a0546dd57f7,e3cc019f86b1a485e4bd7aff6d20a7fb20cba1a4053dbe5460557a0546dd57f7,05a8821986adc42a1db2f2fa0561d3561b37b80dcb21694cafe00eeb71cef241,05a8821986adc42a1db2f2fa0561d3561b37b80dcb21694cafe00eeb71cef241,True,True
P1053,0,32f42ebac34632c1f097d9c7e17a256d1753cc338e70c3057f0ad2974bc0f316,32f42ebac34632c1f097d9c7e17a256d1753cc338e70c3057f0ad2974bc0f316,515e35426b4f4eca36d4ac36a431d8fd4f8777603ae94f61ddad28bd9eba181e,515e35426b4f4eca36d4ac36a431d8fd4f8777603ae94f61ddad28bd9eba181e,True,True
