pair_id,family,reference_history,holonomy_history,phase_a_state_match,phase_a_joint_generation,phase_a_history_irreducibility,phase_a_intervention_sensitivity,phase_a_pair_specificity,phase_a_bilateral_feedback,phase_a_gauge_relative_error,phase_a_class2,phase_b_state_match,phase_b_joint_generation,phase_b_history_irreducibility,phase_b_intervention_sensitivity,phase_b_pair_specificity,phase_b_bilateral_feedback,phase_b_gauge_relative_error,phase_b_class2,z_C_history_distance,action_history_distance,A_return_distance,B_return_distance,erased_action_distance,no_feedback_A_distance,no_feedback_B_distance,phase_b_o3,generic_class2,generic_o3
P1058,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.19415317928428855,0.0,0.2060037741837268,0.0,False,True,0.14318055291730564,0.14586969946984502,0.21316118546838883,0.0,0.2135565296937611,1.9027649824812795e-16,False,0.10191274602597514,0.10020760525138468,0.22045260806055458,0.20431032544232408,0.0,0.0,0.0,False,False,False
P1059,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.1901952124298431,0.0,0.21234481716371265,1.7669302312364054e-16,False,True,0.14318055291730564,0.14586969946984502,0.20643987385474932,0.0,0.18735607952126918,1.4814344795509038e-16,False,0.10191274602597514,0.10020760525138468,0.22498738878069605,0.18910455775614768,0.0,0.0,0.0,False,False,False
P1060,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.1773484508084578,0.0,0.21333044154840264,0.0,False,True,0.14318055291730564,0.14586969946984502,0.2118228190447783,0.0,0.22171290545604033,1.2383981107178194e-16,False,0.10191274602597514,0.10020760525138468,0.20853427726529725,0.20576993698515156,0.0,0.0,0.0,False,False,False
P1061,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.18222386253924827,0.0,0.19625168372072285,0.0,False,True,0.14318055291730564,0.14586969946984502,0.20228633065767132,0.0,0.20974335643876504,1.323311311828473e-16,False,0.10191274602597514,0.10020760525138468,0.21674382994987101,0.20915792353074783,0.0,0.0,0.0,False,False,False
P1062,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.2167652337836108,0.0,0.18823172691060625,1.4745428983292708e-16,False,True,0.14318055291730564,0.14586969946984502,0.21145330101276477,0.0,0.20642108607189033,0.0,False,0.10191274602597514,0.10020760525138468,0.2056098204892101,0.20024073421845331,0.0,0.0,0.0,False,False,False
P1063,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.19249693061517253,0.0,0.2286368834346302,2.4126966940438136e-16,False,True,0.14318055291730564,0.14586969946984502,0.20814034311724428,0.0,0.2238830145073965,1.2397356573341985e-16,False,0.10191274602597514,0.10020760525138468,0.20753196162831417,0.1992075202936859,0.0,0.0,0.0,False,False,False
P1064,1,BBAA,BABA,True,0.21191325465013633,0.14819533695048545,0.20166867025542512,0.0,0.14868627409615612,1.866720770585673e-16,False,True,0.1689400465069031,0.13419814046210385,0.2013589727795247,0.0,0.218815882873009,0.0,False,0.10222248919383278,0.10113720074560549,0.2398465805912475,0.2230920608176353,0.0,0.0,0.0,False,False,False
P1065,1,BBAA,BABA,True,0.21191325465013633,0.14819533695048545,0.18706600047705452,0.0,0.15425201814651046,1.79936547664915e-16,False,True,0.1689400465069031,0.13419814046210385,0.19498963031626088,0.0,0.21741112517230848,2.0682533692385103e-16,False,0.10222248919383278,0.10113720074560549,0.24401625405227215,0.19863543004106107,0.0,0.0,0.0,False,False,False
P1066,1,BBAA,BABA,True,0.21191325465013633,0.14819533695048545,0.2037168470780404,0.0,0.16688433748498838,1.455560550918239e-16,False,True,0.1689400465069031,0.13419814046210385,0.18595057262054976,0.0,0.20037466025318282,0.0,False,0.10222248919383278,0.10113720074560549,0.24012600203296944,0.21769991159443688,0.0,0.0,0.0,False,False,False
P1067,1,BBAA,BABA,True,0.21191325465013633,0.14819533695048545,0.19010809405799023,0.0,0.1511952424326479,1.4502614205135917e-16,False,True,0.1689400465069031,0.13419814046210385,0.17810152970458265,0.0,0.20562451460702943,0.0,False,0.10222248919383278,0.10113720074560549,0.22315517390597578,0.2171494522281075,0.0,0.0,0.0,False,False,False
P1068,1,BBAA,BABA,True,0.21191325465013633,0.14819533695048545,0.17732066790473228,0.0,0.12664570566900937,0.0,False,True,0.1689400465069031,0.13419814046210385,0.1968269296711409,0.0,0.21277693742770465,2.608889473753183e-16,False,0.10222248919383278,0.10113720074560549,0.2286279877264007,0.23421155278261827,0.0,0.0,0.0,False,False,False
P1069,1,BBAA,BABA,True,0.21191325465013633,0.14819533695048545,0.1776852907634907,0.0,0.13037206762062992,0.0,False,True,0.1689400465069031,0.13419814046210385,0.20707761412331338,0.0,0.2095997141049845,2.3861670166223595e-16,False,0.10222248919383278,0.10113720074560549,0.21302353809158225,0.2089782549080974,0.0,0.0,0.0,False,False,False
