pair_id,family,control,registered_class,joint_generation,history_irreducibility,intervention_sensitivity,pair_specificity,bilateral_feedback,gauge_relative_error,declared_class2
P1002,0,compressed_summary,1,0.1485802444691394,0.15708359687867818,0.20671545762626933,0.0,0.0,1.7669302312364054e-16,False
P1002,0,unilateral_return,1,0.1485802444691394,0.15708359687867818,0.09737226796559453,0.0,0.0,1.4252300062188166e-16,False
P1002,0,unrelated_c,1,0.1485802444691394,0.15708359687867818,0.18650574640786266,0.0,0.21587325773598562,1.7669302312364054e-16,False
P1003,0,no_c,0,0.0,0.0,0.0,0.0,0.0,0.0,False
P1003,0,historyless,0,0.1279298943149911,0.0,0.20197204179796902,0.0,0.133596054031931,2.07757450747722e-16,False
P1003,0,common_memory,0,0.0,0.0,0.21494176818781555,0.0,0.0,2.50218757348456e-16,False
P1003,0,history_only,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,1.7669302312364054e-16,False
P1003,0,individual_memory,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P1003,0,compressed_summary,1,0.1485802444691394,0.15708359687867818,0.21292283805420234,0.0,0.0,0.0,False
P1003,0,unilateral_return,1,0.1485802444691394,0.15708359687867818,0.11047269736359856,0.0,0.0,1.7669302312364054e-16,False
P1003,0,unrelated_c,1,0.1485802444691394,0.15708359687867818,0.2079186632819841,0.0,0.22554839698316387,0.0,False
P1004,0,no_c,0,0.0,0.0,0.0,0.0,0.0,0.0,False
P1004,0,historyless,0,0.1279298943149911,0.0,0.19792678541270342,0.0,0.15103217641265268,0.0,False
P1004,0,common_memory,0,0.0,0.0,0.2036253671947614,0.0,0.0,0.0,False
P1004,0,history_only,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,1.7669302312364054e-16,False
P1004,0,individual_memory,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,1.7669302312364054e-16,False
P1004,0,compressed_summary,1,0.1485802444691394,0.15708359687867818,0.21290985143438945,0.0,0.0,0.0,False
P1004,0,unilateral_return,1,0.1485802444691394,0.15708359687867818,0.10240861296866285,0.0,0.0,1.3551387335029207e-16,False
P1004,0,unrelated_c,1,0.1485802444691394,0.15708359687867818,0.19858457479767755,0.0,0.21032720304383531,0.0,False
P1005,0,no_c,0,0.0,0.0,0.0,0.0,0.0,0.0,False
P1005,0,historyless,0,0.1279298943149911,0.0,0.19576324636594286,0.0,0.1296326486951577,0.0,False
P1005,0,common_memory,0,0.0,0.0,0.21335684574734587,0.0,0.0,0.0,False
P1005,0,history_only,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P1005,0,individual_memory,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P1005,0,compressed_summary,1,0.1485802444691394,0.15708359687867818,0.21788160877955415,0.0,0.0,0.0,False
P1005,0,unilateral_return,1,0.1485802444691394,0.15708359687867818,0.1093384728138767,0.0,0.0,0.0,False
P1005,0,unrelated_c,1,0.1485802444691394,0.15708359687867818,0.2031092166571578,0.0,0.2164984290861138,0.0,False
P1006,0,no_c,0,0.0,0.0,0.0,0.0,0.0,0.0,False
P1006,0,historyless,0,0.1279298943149911,0.0,0.20417675876170294,0.0,0.15558608493810014,1.7839368878438877e-16,False
P1006,0,common_memory,0,0.0,0.0,0.2020308120231941,0.0,0.0,1.3837425591097864e-16,False
P1006,0,history_only,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P1006,0,individual_memory,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P1006,0,compressed_summary,1,0.1485802444691394,0.15708359687867818,0.20360654001249967,0.0,0.0,0.0,False
P1006,0,unilateral_return,1,0.1485802444691394,0.15708359687867818,0.1093931164156291,0.0,0.0,1.7669302312364054e-16,False
P1006,0,unrelated_c,1,0.1485802444691394,0.15708359687867818,0.2018456873266044,0.0,0.2080361817098435,1.3341705941488939e-16,False
P1007,0,no_c,0,0.0,0.0,0.0,0.0,0.0,0.0,False
P1007,0,historyless,0,0.1279298943149911,0.0,0.17715664089875877,0.0,0.12795000530796188,1.3994616766152892e-16,False
P1007,0,common_memory,0,0.0,0.0,0.20825033432832596,0.0,0.0,0.0,False
P1007,0,history_only,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,1.7669302312364054e-16,False
P1007,0,individual_memory,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P1007,0,compressed_summary,1,0.1485802444691394,0.15708359687867818,0.22044868530084863,0.0,0.0,1.7669302312364054e-16,False
P1007,0,unilateral_return,1,0.1485802444691394,0.15708359687867818,0.10247194666862806,0.0,0.0,1.7669302312364054e-16,False
P1007,0,unrelated_c,1,0.1485802444691394,0.15708359687867818,0.19571269750979248,0.0,0.21171226452983238,0.0,False
P1008,0,no_c,0,0.0,0.0,0.0,0.0,0.0,0.0,False
P1008,0,historyless,0,0.1279298943149911,0.0,0.19402352305545473,0.0,0.15072104490993182,2.3006948575856875e-16,False
P1008,0,common_memory,0,0.0,0.0,0.20358622517763034,0.0,0.0,1.3487298610431119e-16,False
P1008,0,history_only,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P1008,0,individual_memory,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P1008,0,compressed_summary,1,0.1485802444691394,0.15708359687867818,0.21771241653762333,0.0,0.0,0.0,False
P1008,0,unilateral_return,1,0.1485802444691394,0.15708359687867818,0.10524003702665523,0.0,0.0,1.7669302312364054e-16,False
P1008,0,unrelated_c,1,0.1485802444691394,0.15708359687867818,0.1931692086573943,0.0,0.18694492026595608,0.0,False
P1009,0,no_c,0,0.0,0.0,0.0,0.0,0.0,0.0,False
P1009,0,historyless,0,0.1279298943149911,0.0,0.19590606510770558,0.0,0.1435357480767082,2.3632326617751706e-16,False
P1009,0,common_memory,0,0.0,0.0,0.20680000597031428,0.0,0.0,0.0,False
P1009,0,history_only,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P1009,0,individual_memory,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P1009,0,compressed_summary,1,0.1485802444691394,0.15708359687867818,0.19998675551311404,0.0,0.0,1.7669302312364054e-16,False
P1009,0,unilateral_return,1,0.1485802444691394,0.15708359687867818,0.10849200445303184,0.0,0.0,1.2791530470637036e-16,False
P1009,0,unrelated_c,1,0.1485802444691394,0.15708359687867818,0.19197101357395507,0.0,0.2102614474384294,0.0,False
P1010,0,no_c,0,0.0,0.0,0.0,0.0,0.0,0.0,False
P1010,0,historyless,0,0.1279298943149911,0.0,0.20329510137801854,0.0,0.1479688650025695,0.0,False
P1010,0,common_memory,0,0.0,0.0,0.20228669373890099,0.0,0.0,1.397680387206787e-16,False
P1010,0,history_only,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,1.7669302312364054e-16,False
P1010,0,individual_memory,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P1010,0,compressed_summary,1,0.1485802444691394,0.15708359687867818,0.21864515976384596,0.0,0.0,0.0,False
P1010,0,unilateral_return,1,0.1485802444691394,0.15708359687867818,0.10839064547588342,0.0,0.0,0.0,False
P1010,0,unrelated_c,1,0.1485802444691394,0.15708359687867818,0.19415317928428855,0.0,0.2060037741837268,1.7669302312364054e-16,False
P1011,0,no_c,0,0.0,0.0,0.0,0.0,0.0,0.0,False
P1011,0,historyless,0,0.1279298943149911,0.0,0.19062334900150912,0.0,0.14199666124217603,1.9546639599005528e-16,False
P1011,0,common_memory,0,0.0,0.0,0.20587280114379558,0.0,0.0,0.0,False
P1011,0,history_only,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,1.7669302312364054e-16,False
P1011,0,individual_memory,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P1011,0,compressed_summary,1,0.1485802444691394,0.15708359687867818,0.22798680564387702,0.0,0.0,0.0,False
P1011,0,unilateral_return,1,0.1485802444691394,0.15708359687867818,0.10154836558056664,0.0,0.0,0.0,False
P1011,0,unrelated_c,1,0.1485802444691394,0.15708359687867818,0.1901952124298431,0.0,0.21234481716371265,1.7669302312364054e-16,False
P1012,0,no_c,0,0.0,0.0,0.0,0.0,0.0,0.0,False
P1012,0,historyless,0,0.1279298943149911,0.0,0.18912466441955014,0.0,0.17537827689003116,0.0,False
P1012,0,common_memory,0,0.0,0.0,0.2041592981466659,0.0,0.0,1.2798206319296489e-16,False
P1012,0,history_only,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P1012,0,individual_memory,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P1012,0,compressed_summary,1,0.1485802444691394,0.15708359687867818,0.21772469515295664,0.0,0.0,2.470580159175378e-16,False
P1012,0,unilateral_return,1,0.1485802444691394,0.15708359687867818,0.09458183842628348,0.0,0.0,0.0,False
P1012,0,unrelated_c,1,0.1485802444691394,0.15708359687867818,0.1773484508084578,0.0,0.21333044154840264,1.3010602431688793e-16,False
P1013,0,no_c,0,0.0,0.0,0.0,0.0,0.0,0.0,False
P1013,0,historyless,0,0.1279298943149911,0.0,0.19263720312183802,0.0,0.13498082567721753,1.2248916865395263e-16,False
P1013,0,common_memory,0,0.0,0.0,0.2081738606012417,0.0,0.0,0.0,False
P1013,0,history_only,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P1013,0,individual_memory,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P1013,0,compressed_summary,1,0.1485802444691394,0.15708359687867818,0.21226706042541227,0.0,0.0,0.0,False
P1013,0,unilateral_return,1,0.1485802444691394,0.15708359687867818,0.1056534617580475,0.0,0.0,0.0,False
P1013,0,unrelated_c,1,0.1485802444691394,0.15708359687867818,0.18222386253924827,0.0,0.19625168372072285,0.0,False
P1014,0,no_c,0,0.0,0.0,0.0,0.0,0.0,0.0,False
P1014,0,historyless,0,0.1279298943149911,0.0,0.19169256591884754,0.0,0.12137742913358839,0.0,False
P1014,0,common_memory,0,0.0,0.0,0.20334048900109808,0.0,0.0,0.0,False
P1014,0,history_only,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P1014,0,individual_memory,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,1.7669302312364054e-16,False
P1014,0,compressed_summary,1,0.1485802444691394,0.15708359687867818,0.21370335885333944,0.0,0.0,1.3605185513488678e-16,False
P1014,0,unilateral_return,1,0.1485802444691394,0.15708359687867818,0.1210670445287436,0.0,0.0,0.0,False
P1014,0,unrelated_c,1,0.1485802444691394,0.15708359687867818,0.2167652337836108,0.0,0.18823172691060625,0.0,False
P1015,0,no_c,0,0.0,0.0,0.0,0.0,0.0,0.0,False
P1015,0,historyless,0,0.1279298943149911,0.0,0.19432033197197462,0.0,0.1510270876245382,0.0,False
P1015,0,common_memory,0,0.0,0.0,0.21879305486545483,0.0,0.0,1.2258490666753194e-16,False
P1015,0,history_only,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P1015,0,individual_memory,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P1015,0,compressed_summary,1,0.1485802444691394,0.15708359687867818,0.21579586962506542,0.0,0.0,1.304073451487672e-16,False
P1015,0,unilateral_return,1,0.1485802444691394,0.15708359687867818,0.10060530873709002,0.0,0.0,2.4126966940438136e-16,False
P1015,0,unrelated_c,1,0.1485802444691394,0.15708359687867818,0.19249693061517253,0.0,0.2286368834346302,2.4126966940438136e-16,False
P1016,0,no_c,0,0.0,0.0,0.0,0.0,0.0,0.0,False
P1016,0,historyless,0,0.1279298943149911,0.0,0.19626825939350506,0.0,0.13899733374665676,0.0,False
P1016,0,common_memory,0,0.0,0.0,0.2054980498589664,0.0,0.0,0.0,False
P1016,0,history_only,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,1.7669302312364054e-16,False
P1016,0,individual_memory,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P1016,0,compressed_summary,1,0.1485802444691394,0.15708359687867818,0.20684076653338485,0.0,0.0,0.0,False
P1016,0,unilateral_return,1,0.1485802444691394,0.15708359687867818,0.10418406659989114,0.0,0.0,1.7669302312364054e-16,False
P1016,0,unrelated_c,1,0.1485802444691394,0.15708359687867818,0.1930592248089817,0.0,0.23022034946288086,2.6640902511726215e-16,False
P1017,0,no_c,0,0.0,0.0,0.0,0.0,0.0,0.0,False
P1017,0,historyless,0,0.1279298943149911,0.0,0.17624936910696412,0.0,0.1437269227514545,0.0,False
P1017,0,common_memory,0,0.0,0.0,0.20885962744136677,0.0,0.0,0.0,False
P1017,0,history_only,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
