pair_id,family,control,registered_class,joint_generation,history_irreducibility,intervention_sensitivity,pair_specificity,bilateral_feedback,gauge_relative_error,declared_class2
P2015,0,historyless,0,0.1279298943149911,0.0,0.17715664089875877,0.16488659784889798,0.12795000530796188,2.169251618929146e-16,False
P2015,0,common_memory,0,0.0,0.0,0.20825033432832596,0.21681267792260894,0.0,0.0,False
P2015,0,history_only,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,1.7669302312364054e-16,False
P2015,0,individual_memory,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P2015,0,compressed_summary,1,0.1485802444691394,0.15708359687867818,0.22044868530084863,0.0,0.0,1.7669302312364054e-16,False
P2015,0,unilateral_return,1,0.1485802444691394,0.15708359687867818,0.10247194666862806,0.10992520282551466,0.0,0.0,False
P2015,0,unrelated_c,1,0.21191325465013633,0.14819533695048545,0.1924887984817787,0.0,0.13729535488354183,0.0,False
P2016,0,no_c,0,0.0,0.0,0.0,0.0,0.0,0.0,False
P2016,0,historyless,0,0.1279298943149911,0.0,0.19402352305545473,0.17250980757855505,0.15072104490993182,0.0,False
P2016,0,common_memory,0,0.0,0.0,0.20358622517763034,0.22063515245020404,0.0,1.3487298610431119e-16,False
P2016,0,history_only,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P2016,0,individual_memory,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P2016,0,compressed_summary,1,0.1485802444691394,0.15708359687867818,0.21771241653762333,0.0,0.0,1.7669302312364054e-16,False
P2016,0,unilateral_return,1,0.1485802444691394,0.15708359687867818,0.10524003702665523,0.11443300670396418,0.0,0.0,False
P2016,0,unrelated_c,1,0.21191325465013633,0.14819533695048545,0.17733968489475155,0.0,0.14607872593150167,1.8729047881515002e-16,False
P2017,0,no_c,0,0.0,0.0,0.0,0.0,0.0,0.0,False
P2017,0,historyless,0,0.1279298943149911,0.0,0.19590606510770558,0.19385138734963736,0.1435357480767082,2.5991506425919354e-16,False
P2017,0,common_memory,0,0.0,0.0,0.20680000597031428,0.2246806178147726,0.0,0.0,False
P2017,0,history_only,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,1.7669302312364054e-16,False
P2017,0,individual_memory,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P2017,0,compressed_summary,1,0.1485802444691394,0.15708359687867818,0.19998675551311404,0.0,0.0,1.7669302312364054e-16,False
P2017,0,unilateral_return,1,0.1485802444691394,0.15708359687867818,0.10849200445303184,0.117573386345877,0.0,0.0,False
P2017,0,unrelated_c,1,0.21191325465013633,0.14819533695048545,0.19078193078794592,0.0,0.13085225784104473,0.0,False
P2018,0,no_c,0,0.0,0.0,0.0,0.0,0.0,0.0,False
P2018,0,historyless,0,0.1279298943149911,0.0,0.20329510137801854,0.1906191619645602,0.1479688650025695,0.0,False
P2018,0,common_memory,0,0.0,0.0,0.20228669373890099,0.21900997225657343,0.0,0.0,False
P2018,0,history_only,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P2018,0,individual_memory,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,1.7669302312364054e-16,False
P2018,0,compressed_summary,1,0.1485802444691394,0.15708359687867818,0.21864515976384596,0.0,0.0,0.0,False
P2018,0,unilateral_return,1,0.1485802444691394,0.15708359687867818,0.10839064547588342,0.1052318998598313,0.0,0.0,False
P2018,0,unrelated_c,1,0.21191325465013633,0.14819533695048545,0.17878416544039366,0.0,0.16061128440325198,0.0,False
P2019,0,no_c,0,0.0,0.0,0.0,0.0,0.0,0.0,False
P2019,0,historyless,0,0.1279298943149911,0.0,0.19062334900150912,0.16717835805520992,0.14199666124217603,2.0149801146551015e-16,False
P2019,0,common_memory,0,0.0,0.0,0.20587280114379558,0.22362557152894796,0.0,1.368803683519651e-16,False
P2019,0,history_only,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P2019,0,individual_memory,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,1.7669302312364054e-16,False
P2019,0,compressed_summary,1,0.1485802444691394,0.15708359687867818,0.22798680564387702,0.0,0.0,0.0,False
P2019,0,unilateral_return,1,0.1485802444691394,0.15708359687867818,0.10154836558056664,0.11445490082405999,0.0,0.0,False
P2019,0,unrelated_c,1,0.21191325465013633,0.14819533695048545,0.18572577153488246,0.0,0.16133872102306915,0.0,False
P2020,0,no_c,0,0.0,0.0,0.0,0.0,0.0,0.0,False
P2020,0,historyless,0,0.1279298943149911,0.0,0.18912466441955014,0.17997122953915323,0.17537827689003116,0.0,False
P2020,0,common_memory,0,0.0,0.0,0.2041592981466659,0.21821896714371475,0.0,1.2798206319296489e-16,False
P2020,0,history_only,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P2020,0,individual_memory,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,1.7669302312364054e-16,False
P2020,0,compressed_summary,1,0.1485802444691394,0.15708359687867818,0.21772469515295664,0.0,0.0,0.0,False
P2020,0,unilateral_return,1,0.1485802444691394,0.15708359687867818,0.09458183842628348,0.10471079165166357,0.0,1.7669302312364054e-16,False
P2020,0,unrelated_c,1,0.21191325465013633,0.14819533695048545,0.1909040599218245,0.0,0.1482856775053902,1.8729047881515002e-16,False
P2021,0,no_c,0,0.0,0.0,0.0,0.0,0.0,0.0,False
P2021,0,historyless,0,0.1279298943149911,0.0,0.19263720312183802,0.169736909850479,0.13498082567721753,0.0,False
P2021,0,common_memory,0,0.0,0.0,0.2081738606012417,0.2099337686808012,0.0,0.0,False
P2021,0,history_only,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P2021,0,individual_memory,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,1.7669302312364054e-16,False
P2021,0,compressed_summary,1,0.1485802444691394,0.15708359687867818,0.21226706042541227,0.0,0.0,1.7669302312364054e-16,False
P2021,0,unilateral_return,1,0.1485802444691394,0.15708359687867818,0.1056534617580475,0.10566629072116249,0.0,0.0,False
P2021,0,unrelated_c,1,0.21191325465013633,0.14819533695048545,0.195422843471482,0.0,0.15241905130087816,0.0,False
P2022,0,no_c,0,0.0,0.0,0.0,0.0,0.0,0.0,False
P2022,0,historyless,0,0.1279298943149911,0.0,0.19169256591884754,0.17774903745675874,0.12137742913358839,0.0,False
P2022,0,common_memory,0,0.0,0.0,0.20334048900109808,0.22050880930522254,0.0,1.3301788873503188e-16,False
P2022,0,history_only,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P2022,0,individual_memory,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,1.7669302312364054e-16,False
P2022,0,compressed_summary,1,0.1485802444691394,0.15708359687867818,0.21370335885333944,0.0,0.0,0.0,False
P2022,0,unilateral_return,1,0.1485802444691394,0.15708359687867818,0.1210670445287436,0.10466711627737228,0.0,0.0,False
P2022,0,unrelated_c,1,0.21191325465013633,0.14819533695048545,0.19684250403052528,0.0,0.14257391518375764,0.0,False
P2023,0,no_c,0,0.0,0.0,0.0,0.0,0.0,0.0,False
