pair_id,family,K_AB_history_distance,carrier_history_distance,z_C_history_distance,action_history_distance,A_return_distance,B_return_distance,self_erased_action_distance,self_erasure_carrier_preservation,carrier_reset_action_distance,native_archive_reset_action_distance,order_erased_action_distance,current_only_action_distance,direct_carrier_action_distance,no_feedback_A_distance,no_feedback_B_distance,unilateral_A_A_effect,unilateral_A_B_effect,unilateral_B_A_effect,unilateral_B_B_effect,completed_C_exchange_A_effect,completed_C_exchange_B_effect,selective_reset_A_effect,selective_reset_B_effect,gate_bilateral_feedback_removal,gate_carrier_reset,gate_completed_C_exchange,gate_current_input_only,gate_direct_carrier_output,gate_native_archive_reset,gate_order_erasure,gate_selective_C_reset,gate_self_reentry_erasure,gate_unilateral_return_A,gate_unilateral_return_B,all_registered_controls_pass,generic_K_AB_history_distance,generic_carrier_history_distance,generic_z_C_history_distance,generic_action_history_distance,generic_A_return_distance,generic_B_return_distance,generic_self_erased_action_distance,generic_self_erasure_carrier_preservation,generic_carrier_reset_action_distance,generic_native_archive_reset_action_distance,generic_order_erased_action_distance,generic_current_only_action_distance,generic_direct_carrier_action_distance,generic_no_feedback_A_distance,generic_no_feedback_B_distance,generic_unilateral_A_A_effect,generic_unilateral_A_B_effect,generic_unilateral_B_A_effect,generic_unilateral_B_B_effect,generic_completed_C_exchange_A_effect,generic_completed_C_exchange_B_effect,generic_selective_reset_A_effect,generic_selective_reset_B_effect,generic_gate_bilateral_feedback_removal,generic_gate_carrier_reset,generic_gate_completed_C_exchange,generic_gate_current_input_only,generic_gate_direct_carrier_output,generic_gate_native_archive_reset,generic_gate_order_erasure,generic_gate_selective_C_reset,generic_gate_self_reentry_erasure,generic_gate_unilateral_return_A,generic_gate_unilateral_return_B,generic_all_registered_controls_pass
P2011,0,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.211345790577515,0.20853033999127052,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.18985368253546925,0.0,0.0,0.22190759578495628,0.18018801422337172,0.23615829314686895,0.17927823663048978,0.22349641512570198,True,True,True,True,True,True,True,True,True,True,True,True,0.1635009149902916,0.07955501540785126,0.07489289467271845,0.0744994243333147,0.14400740710052318,0.22324626094966865,0.0,0.0,0.0,0.0,0.0,0.08173771936968796,0.13886201253127028,0.0,0.0,0.22327459583687254,0.0,0.0,0.23562866717708386,0.21502908671028637,0.22382780876204517,0.21229244283872525,0.20595271188273553,True,True,True,True,True,True,True,True,True,True,True,True
P2012,0,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.17864818512001004,0.20064244309663673,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.200361498289831,0.0,0.0,0.22052711025297245,0.22568196114191247,0.24636898454823616,0.17211567867924085,0.2328488473608024,True,True,True,True,True,True,True,True,True,True,True,True,0.1635009149902916,0.07955501540785126,0.07489289467271845,0.0744994243333147,0.15696510754099688,0.2298306189967808,0.0,0.0,0.0,0.0,0.0,0.08173771936968796,0.13886201253127028,0.0,0.0,0.2115913766241839,0.0,0.0,0.23704322893944535,0.1879513602242156,0.2278040481991232,0.19416523676196495,0.2141056892610103,True,True,True,True,True,True,True,True,True,True,True,True
P2013,0,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.15680868118494878,0.20579339725318552,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.19003635693021212,0.0,0.0,0.21903192437064511,0.22764999088238283,0.2426710534465325,0.20067274273600685,0.20484534815195737,True,True,True,True,True,True,True,True,True,True,True,True,0.1635009149902916,0.07955501540785126,0.07489289467271845,0.0744994243333147,0.13739954010960603,0.22887545408591192,0.0,0.0,0.0,0.0,0.0,0.08173771936968796,0.13886201253127028,0.0,0.0,0.209056714471203,0.0,0.0,0.22186117225162025,0.2218935683936535,0.23049155835196722,0.1933021582975838,0.2086357996529557,True,True,True,True,True,True,True,True,True,True,True,True
P2014,0,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.19736880733775938,0.21118132803469902,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.19157608829082082,0.0,0.0,0.22044946178602287,0.22946522219064122,0.24753046425906505,0.20225699808446934,0.19828050423090465,True,True,True,True,True,True,True,True,True,True,True,True,0.1635009149902916,0.07955501540785126,0.07489289467271845,0.0744994243333147,0.1584110694916755,0.23957606690878844,0.0,0.0,0.0,0.0,0.0,0.08173771936968796,0.13886201253127028,0.0,0.0,0.222597227876652,0.0,0.0,0.20774897590204877,0.20976361815534686,0.2351543581182438,0.20955624953526103,0.2184371303267057,True,True,True,True,True,True,True,True,True,True,True,True
P2015,0,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.19701509865970046,0.19990030404079834,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.20607193692025833,0.0,0.0,0.23156236891939475,0.20979950542385933,0.24925504426053055,0.1898619565144295,0.19590697013136246,True,True,True,True,True,True,True,True,True,True,True,True,0.1635009149902916,0.07955501540785126,0.07489289467271845,0.0744994243333147,0.13813171549431333,0.22951368888956433,0.0,0.0,0.0,0.0,0.0,0.08173771936968796,0.13886201253127028,0.0,0.0,0.19866389903464962,0.0,0.0,0.2256117891635167,0.2011403181208737,0.2268023794548913,0.20474878842295796,0.23768873096091533,True,True,True,True,True,True,True,True,True,True,True,True
P2016,0,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.17843568804432858,0.19760344685574557,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.2014805517874119,0.0,0.0,0.20931175109851613,0.23800029899503794,0.23661728056657014,0.20459038866709126,0.21027174606883586,True,True,True,True,True,True,True,True,True,True,True,True,0.1635009149902916,0.07955501540785126,0.07489289467271845,0.0744994243333147,0.14872877781536145,0.21357778812974898,0.0,0.0,0.0,0.0,0.0,0.08173771936968796,0.13886201253127028,0.0,0.0,0.22030944120328758,0.0,0.0,0.24072136760525928,0.20852786353959188,0.239610947472041,0.19799106469387004,0.23333331267854765,True,True,True,True,True,True,True,True,True,True,True,True
P2017,0,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.19364266642686342,0.19089591371002623,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.18371109595503166,0.0,0.0,0.22089677346261632,0.20381658072401482,0.24343564580198884,0.18374904995183944,0.20259177254796035,True,True,True,True,True,True,True,True,True,True,True,True,0.1635009149902916,0.07955501540785126,0.07489289467271845,0.0744994243333147,0.13635405861474922,0.21490263041500932,0.0,0.0,0.0,0.0,0.0,0.08173771936968796,0.13886201253127028,0.0,0.0,0.1971088242402817,0.0,0.0,0.22372825007504568,0.2018065910991886,0.23371183511865157,0.17018589762712508,0.21869514021866784,True,True,True,True,True,True,True,True,True,True,True,True
P2018,0,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.17622970322529405,0.20066023071660177,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.19418017813993485,0.0,0.0,0.21611753545233497,0.23446432222455138,0.23100358009946684,0.17808439805397275,0.2114938473932522,True,True,True,True,True,True,True,True,True,True,True,True,0.1635009149902916,0.07955501540785126,0.07489289467271845,0.0744994243333147,0.1403875520116931,0.20332629157711252,0.0,0.0,0.0,0.0,0.0,0.08173771936968796,0.13886201253127028,0.0,0.0,0.220408597140885,0.0,0.0,0.22111887077133963,0.20503812218089118,0.22351427146397854,0.18278819686271364,0.21837431024782594,True,True,True,True,True,True,True,True,True,True,True,True
P2019,0,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.1950491175533426,0.2071686165415504,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.20546090322876145,0.0,0.0,0.22438442654813243,0.20824693476292935,0.22398243553047215,0.1922568382660159,0.21527488970936398,True,True,True,True,True,True,True,True,True,True,True,True,0.1635009149902916,0.07955501540785126,0.07489289467271845,0.0744994243333147,0.1343088539191984,0.21551053656888902,0.0,0.0,0.0,0.0,0.0,0.08173771936968796,0.13886201253127028,0.0,0.0,0.20121400059096406,0.0,0.0,0.23992472469647538,0.19963268419135485,0.23290464598362862,0.19768537304749845,0.22553625607241373,True,True,True,True,True,True,True,True,True,True,True,True
P2020,0,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.19637260437276838,0.2039417079701918,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.1719528515240363,0.0,0.0,0.22972936092688345,0.2170255529841052,0.23980632807703503,0.213759857073511,0.21876221330933368,True,True,True,True,True,True,True,True,True,True,True,True,0.1635009149902916,0.07955501540785126,0.07489289467271845,0.0744994243333147,0.1419151865857458,0.2069254326423103,0.0,0.0,0.0,0.0,0.0,0.08173771936968796,0.13886201253127028,0.0,0.0,0.21251806088652328,0.0,0.0,0.24224913227874506,0.19813345712786287,0.23980251636300173,0.16484479572639313,0.21198945989597937,True,True,True,True,True,True,True,True,True,True,True,True
