pair_id,family,reference_history,holonomy_history,phase_a_state_match,phase_a_joint_generation,phase_a_history_irreducibility,phase_a_intervention_sensitivity,phase_a_pair_specificity,phase_a_bilateral_feedback,phase_a_gauge_relative_error,phase_a_class2,phase_b_state_match,phase_b_joint_generation,phase_b_history_irreducibility,phase_b_intervention_sensitivity,phase_b_pair_specificity,phase_b_bilateral_feedback,phase_b_gauge_relative_error,phase_b_class2,K_AB_history_distance,carrier_history_distance,z_C_history_distance,action_history_distance,A_return_distance,B_return_distance,self_erased_action_distance,self_erasure_carrier_preservation,carrier_reset_action_distance,native_archive_reset_action_distance,order_erased_action_distance,current_only_action_distance,direct_carrier_action_distance,no_feedback_A_distance,no_feedback_B_distance,unilateral_A_A_effect,unilateral_A_B_effect,unilateral_B_A_effect,unilateral_B_B_effect,completed_C_exchange_A_effect,completed_C_exchange_B_effect,selective_reset_A_effect,selective_reset_B_effect,phase_b_all_registered_controls,phase_b_o3,generic_class2,generic_o3
P2022,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.2167652337836108,0.20890422468651404,0.18823172691060625,2.662734609510207e-16,True,True,0.14223161127206793,0.14519932639429514,0.19216909339691485,0.24590617814719745,0.21735333482806632,0.0,True,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.20632300926228417,0.2014750928822612,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.1907303948258825,0.0,0.0,0.2058344903966619,0.24329109355440903,0.24852126273998587,0.17624357791496287,0.20809460887886685,True,True,True,True
P2023,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.19249693061517253,0.21310675641530877,0.2286368834346302,1.7669302312364054e-16,True,True,0.14223161127206793,0.14519932639429514,0.1770477901469533,0.22265453710213562,0.21251439614233253,2.2671722976083066e-16,True,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.21520880735796438,0.2065521369447281,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.19754036175358655,0.0,0.0,0.23293784993488345,0.20046155516119785,0.24484751904307336,0.17802980952513475,0.17606577076877183,True,True,True,True
P2024,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.1930592248089817,0.2179702895753002,0.23022034946288086,1.2056091340485098e-16,True,True,0.14223161127206793,0.14519932639429514,0.18471979012703846,0.23329098216371297,0.20275915090007693,1.724886307412998e-16,True,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.18835069610338948,0.20827285821589256,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.19603232157933514,0.0,0.0,0.2429906124271691,0.21875456703774787,0.2478273972896781,0.16091249316748885,0.20852708708658807,True,True,True,True
P2025,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.19589124411671022,0.21162967814366207,0.2092535185660398,0.0,True,True,0.14223161127206793,0.14519932639429514,0.1956181494889036,0.24015239340532685,0.20121536146748822,2.1755093739583702e-16,True,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.19703890336701466,0.1873271216762826,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.18709888329246482,0.0,0.0,0.2236918879916607,0.22514086108481549,0.2551639257258382,0.18152190834246207,0.20971439063534517,True,True,True,True
P2026,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.18650574640786266,0.21882775211634153,0.21587325773598562,1.7669302312364054e-16,True,True,0.14223161127206793,0.14519932639429514,0.20013651675648225,0.21493182535073563,0.2198239035843438,0.0,True,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.189553357268413,0.2066285602691601,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.2017172873736911,0.0,0.0,0.22902814812118122,0.2080200025815672,0.2218436481199041,0.1864215822630292,0.21385145124993532,True,True,True,True
P2027,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.2079186632819841,0.2123852201543045,0.22554839698316387,0.0,True,True,0.14223161127206793,0.14519932639429514,0.20138732587809588,0.20817315368512035,0.22191839911734335,0.0,True,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.211345790577515,0.20853033999127052,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.18985368253546925,0.0,0.0,0.22190759578495628,0.18018801422337172,0.23615829314686895,0.17927823663048978,0.22349641512570198,True,True,True,True
P2028,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.19858457479767755,0.2199235431279335,0.21032720304383531,1.3551387335029207e-16,True,True,0.14223161127206793,0.14519932639429514,0.20248226302002165,0.2360254728450743,0.2263865887171124,2.4520512255530875e-16,True,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.17864818512001004,0.20064244309663673,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.200361498289831,0.0,0.0,0.22052711025297245,0.22568196114191247,0.24636898454823616,0.17211567867924085,0.2328488473608024,True,True,True,True
P2029,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.2031092166571578,0.21894099192450092,0.2164984290861138,1.7669302312364054e-16,True,True,0.14223161127206793,0.14519932639429514,0.2027590454439821,0.23516052216445765,0.21346200705322194,2.2875060887098573e-16,True,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.15680868118494878,0.20579339725318552,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.19003635693021212,0.0,0.0,0.21903192437064511,0.22764999088238283,0.2426710534465325,0.20067274273600685,0.20484534815195737,True,True,True,True
P2030,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.2018456873266044,0.21965067775012498,0.2080361817098435,1.7669302312364054e-16,True,True,0.14223161127206793,0.14519932639429514,0.200268751157687,0.23849784322485312,0.19009720175404796,2.3355497531029648e-16,True,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.19736880733775938,0.21118132803469902,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.19157608829082082,0.0,0.0,0.22044946178602287,0.22946522219064122,0.24753046425906505,0.20225699808446934,0.19828050423090465,True,True,True,True
P2031,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.19571269750979248,0.2214502315762891,0.21171226452983238,1.7669302312364054e-16,True,True,0.14223161127206793,0.14519932639429514,0.192884463322896,0.22952727484219493,0.21383734143281283,2.5959521783850504e-16,True,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.19701509865970046,0.19990030404079834,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.20607193692025833,0.0,0.0,0.23156236891939475,0.20979950542385933,0.24925504426053055,0.1898619565144295,0.19590697013136246,True,True,True,True
